Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ee.fhir.vjl.json	8801	-	0	0	0	0	0	0	6	39	0	0	0	0	0	0	0	1	0	0	133	49	0	0	0	1	0	1
fsh-generated/resources/Patient-example.json	192	6	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ee-vjl-biomarker.json	4063	5	0	40	0	0	1	1	0	921	0	0	1	0	0	0	0	1	0	0	222	1006	0	1	0	5	0	2
fsh-generated/resources/StructureDefinition-ee-vjl-bmi.json	4510	5	0	33	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	213	274	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-ee-vjl-body-surface-area.json	4583	5	0	30	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	206	250	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-clinical-trial-consent.json	2138	2	0	29	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	142	165	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-ee-vjl-clinical-trial-subject.json	1809	2	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	71	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ee-vjl-clinical-trial.json	4071	3	0	37	0	0	0	0	0	30	0	0	1	0	0	0	0	1	0	0	245	230	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-height.json	4520	3	0	23	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	307	297	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-medication-administration.json	2660	3	0	18	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0	0	121	223	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-menopause-status.json	3783	3	0	20	0	0	0	0	0	704	0	0	0	0	0	0	0	1	0	0	173	231	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-ee-vjl-patient.json	1125	2	0	27	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	194	1223	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-performance-status-ecog.json	4171	3	0	18	0	0	0	0	0	690	0	0	0	0	0	0	0	1	0	0	181	181	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-performance-status-karnofsky.json	4174	3	0	16	1	0	0	0	0	677	0	0	1	0	0	0	0	0	0	0	181	193	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-ee-vjl-performance-status-lansky.json	3813	3	0	17	0	0	0	0	0	681	0	0	0	0	0	0	0	1	0	0	169	159	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-primary-cancer-diagnosis.json	1584	1	0	11	0	0	0	0	0	898	0	0	0	0	0	0	0	0	0	0	85	1080	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ee-vjl-radiotherapy-dose.json	1295	2	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ee-vjl-radiotherapy.json	4962	2	0	16	0	0	0	0	0	1343	0	0	0	0	0	0	0	1	0	0	164	192	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-surgeries.json	4219	2	0	15	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	0	161	179	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-tnm.json	560	1	0	14	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	115	182	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ee-vjl-weight.json	4516	3	0	20	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	199	265	0	0	0	5	1	1
/fsh-generated/includes/menu.xml	1726	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1379	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.xml	1148	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0
/input/pagecontent/page2.md	209	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/search.xml	442	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0
/input/pagecontent/contacts.md	373	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	636	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/page1.md	464	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/robots.txt	24	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/sample.png	2028720	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	9232	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
